562bbd61e12565a005c7104a,The most abundant greenhouse gas in the earth's atmosphere:,1. carbon dioxide 2. nitrous oxide 3. water vapor 4. methane 5. chlorofluorocarbons (CFCs) ,3. water vapor,
562bbdece12565a005c71050,The most abundant gases in the earth's atmosphere by volume are:,1. carbon dioxide and nitrogen 2. oxygen and water vapor 3. nitrogen and oxygen 4. oxygen and helium 5. oxygen and ozone ,3. nitrogen and oxygen,
562bc587307d740b009fd3d2,In a volume of air near the earth's surface ________ and _________ occupies 78 % and nearly 21 %.,"1. nitrogen, oxygen 2. hydrogen, oxygen 3. oxygen, hydrogen 4. nitrogen, water vapor 5. hydrogen, helium ","1. nitrogen, oxygen",
562bc5f3307d740b009fd3d8,The gas that shows the most variation from place to place and from time to time in the lower atmosphere:,1. ozone 2. carbon dioxide 3. water vapor 4. methane 5. argon (Ar) ,3. water vapor,
562bc692307d740b009fd3e4,The gas that absorbs most of the harmful ultraviolet radiation in the stratosphere:,1. water vapor 2. nitrous oxide 3. carbon dioxide 4. ozone 5. chlorofluorocarbons (CFCs) ,4. ozone,
562bc6d8307d740b009fd3ea,Which of the following are considered to be weather elements?,1. air temperature 2. humidity 3. wind 4. air pressure 5. all of the above ,5. all of the above,
562c059941da0f0b00c1171a,If the temperature of the air is said to be at absolute zero one might conclude  that:,1. the motion of the molecules is at a maximum 2. the molecules are occupying a large volume 3. the molecules contain a minimum amount of energy 4. the temperature is 0°F 5. the air temperature is 0°C ,3. the molecules contain a minimicron amount of energy,
562c068c41da0f0b00c11726,The temperature scale that sets freezing of pure water at 32 degrees F:,1. Kelvin 2. Fahrenheit 3. Celsius 4. British ,2. Fahrenheit,
562c06da41da0f0b00c1172b,Which of the following is not considered a temperature scale?,1. Fahrenheit 2. Celsius 3. Calorie 4. Celsius ,3. Calorie,
562c074e41da0f0b00c11730,A change of one degree on the Celsius scale is ________ a change of one degree on the  Fahrenheit scale.,1. equal to 2. larger than 3. smaller than 4. is in the opposite direction of ,2. larger than,
562c086641da0f0b00c11740,The rate at which temperature decreases with increasing altitude is known as the:,1. temperature slope 2. lapse rate 3. sounding 4. thermocline ,2. lapse rate,
562c0b4e41da0f0b00c11755,The hottest atmospheric layer is the:,1. stratosphere 2. mesosphere 3. thermosphere 4. troposphere ,3. thermosphere,
562c0ba041da0f0b00c1175a,Almost all of the earth's weather occurs in the:,1. exosphere 2. stratosphere 3. mesosphere 4. thermosphere 5. troposphere ,5. troposphere,
562c0be841da0f0b00c11760,The atmospheric layer in which we live is called the:,1. troposphere 2. stratosphere 3. thermosphere 4. ionosphere 5. exosphere ,1. troposphere,
562c0d1c41da0f0b00c11771,This holds a planet's atmosphere close to its surface:,1. radiation 2. gravity 3. cloud cover 4. moisture 5. pressure ,2. gravity,
562c0d5b41da0f0b00c11777,The amount of force exerted over an area of surface is called:,1. density 2. weight 3. temperature 4. pressure ,4. pressure,
562c0daa41da0f0b00c1177d,Scientists are able to determine the air temperature in the thermosphere by:,"1. using radiosondes 2. using temperature probes in orbiting satellites 3. observing changes in satellite orbits 4. direct measurements in manned, high-altitude balloons ",3. observing changes in satellite orbits,
562c0de941da0f0b00c11783,The lowest level of the ionosphere is referred to as the:,1. F region 2. E  region 3. D  region 4. C region 5. B  region ,3. D  region,
562c0e2141da0f0b00c11789,The main reason nighttime radio broadcasts can be sent over long distances is because:,"1. the low D-level region of the ionosphere is weaker at night 2. there is less interference because many radio stations do not broadcast at night 3. radio stations put out more power 4. radio waves propagate more efficiently through cooler, high density air ",1. the low D-level region of the ionosphere is weaker at night,
562c0e6a41da0f0b00c1178e,The electrified region of the upper atmosphere is called the:,1. thermosphere 2. mesosphere 3. stratosphere 4. ionosphere 5. troposphere ,4. ionosphere,
562c0eac41da0f0b00c11794,Most of the ionosphere is found in what atmospheric layer?,1. troposphere 2. stratosphere 3. mesosphere 4. thermosphere ,4. thermosphere,
562c169741da0f0b00c11799,The ionosphere is an atmospheric layer that contains a high concentration of ions.  An ion is:,1. a radioactive element 2. another term for ozone 3. an atom or molecule that has lost or gained an electron 4. atomic oxygen ,3. an atom or molecule that has lost or gained an electron,
562c2e1541da0f0b00c117a7,Which of the following are not units of pressure?,1. millibars 2. newtons 3. inches of mercury (Hg) 4. pascals ,2. newtons,
562c2e4941da0f0b00c117ac,The number or mass of air molecules in a given space or volume is called:,1. density 2. pressure 3. temperature 4. weight ,1. density,
562c2ed541da0f0b00c117b7,Which of the following weather elements always decreases as we climb upward in the atmosphere?,1. wind 2. temperature 3. pressure 4. moisture 5. all of the above ,3. pressure,
562c2f5541da0f0b00c117c2,The unit of pressure most commonly found on a surface weather map:,1. inches of mercury (Hg) 2. millibars 3. pounds per square inch 4. millimeters of mercury (Hg) ,2. millibars,
562c2f9441da0f0b00c117c7,The horizontal movement of air is the weather element:,1. temperature 2. pressure 3. wind 4. humidity ,3. wind,
562c2fd441da0f0b00c117cd,Storms vary in size (diameter).  Which list below arranges storms from largest to smallest?,"1. hurricane, tornado, middle latitude cyclone, thunderstorm 2. tornado, middle latitude cyclone, hurricane, thunderstorm 3. hurricane, middle latitude cyclone, thunderstorm, tornado 4. middle latitude cyclone, tornado, hurricane, thunderstorm 5. middle latitude cyclone, hurricane, thunderstorm, tornado ","5. middle latitude cyclone, hurricane, thunderstorm, tornado",
562c301641da0f0b00c117d3,The wind direction is:,1. the direction from which the wind is blowing 2. the direction to which the wind is blowing 3. always directly from high toward low pressure 4. always directly from low toward high pressure ,1. the direction from which the wind is blowing,
562c308641da0f0b00c117dd,The only substance near the earth's surface that is found naturally in the atmosphere as a solid liquid and a gas:,1. carbon dioxide 2. water 3. molecular oxygen 4. ozone 5. carbon ,2. water,
562c312841da0f0b00c117ee,This is released as sensible heat during the formation of clouds:,1. potential energy 2. longwave radiation 3. latent heat 4. shortwave radiation 5. kinetic energy ,3. latent heat,
562c318041da0f0b00c117f4,Energy of motion is also known as:,1. dynamic energy 2. kinetic energy 3. sensible heat energy 4. static energy 5. latent heat energy ,2. kinetic energy,
562c31e441da0f0b00c11801,The term latent means:,1. late 2. hot 3. light 4. hidden 5. dense ,4. hidden,
562c322041da0f0b00c11807,The cold feeling that you experience after leaving a swimming pool on a hot dry summer day represents heat transport by:,1. conduction 2. convection 3. radiation 4. latent heat ,4. latent heat,
562c325741da0f0b00c1180c,When water changes from a liquid to a vapor we call this process:,1. freezing 2. condensation 3. sublimation 4. deposition 5. evaporation ,5. evaporation,
562c329241da0f0b00c11812,The change of state of ice into water vapor is known as:,1. deposition 2. sublimation 3. melting 4. condensation 5. crystallization ,2. sublimation,
562c32be41da0f0b00c11818,The heat energy released when water vapor changes to a liquid is called:,1. latent heat of evaporation 2. latent heat of fusion 3. latent heat of fission 4. latent heat of condensation ,4. latent heat of condensation,
